Area,Bathroom,Price
800,2,6500000
750,2,5000000
950,2,15500000
600,2,4200000
650,2,6200000
1300,3,15500000
1350,3,10000000
650,2,4000000
985,3,6800000
1300,4,15000000
1100,2,6200000
870,2,7700000
630,2,5500000
660,2,5000000
344.4448,2,3310000
660,2,4700000
550,2,4500000
1100,3,17000000
1150,3,25000000
650,2,6000000
850,2,11000000
900,2,4500000
430.556,1,5300000
900,2,10500000
914.9315,2,12000000
1100,3,7000000
800,2,7000000
500,1,3400000
28,2,5000000
2160,4,21000000
1500,,13500000
800,2,15000000
900,2,10500000
1080,2,22500000
750,2,13600000
1450,3,30000000
900,2,13500000
810,2,8910000
1350,4,25000000
1710,3,26000000
1650,3,30000000
1280,2,12500000
1260,3,21000000
1130,2,7800000
600,2,11500000
850,2,11500000
1500,3,26000000
900,2,13000000
1000,3,22000000
900,2,15800000
2925,4,57500000
900,2,10000000
1600,3,30000000
1143,3,22000000
1150,3,24000000
1500,3,31500000
850,2,14600000
8000,5,240000000
890,2,8300000
1100,3,22500000
750,1,4600000
850,1,1900000
1350,2,5130000
1387,4,5890000
1050,2,3700000
1500,2,17400000
1200,3,15500000
700,1,2400000
1700,2,17200000
1550,2,14200000
1400,3,13500000
1900,4,30000000
2160,3,21000000
1700,3,20500000
1850,4,24000000
1800,2,16500000
1620,2,14900000
1800,3,19200000
1540,3,14500000
1600,3,15600000
1400,2,11400000
2300,4,31500000
1560,2,15800000
1500,3,16000000
1540,3,14500000
1050,2,10500000
1800,2,14800000
400,1,1850000
1150,2,6800000
1525,3,14200000
900,1,8900000
1450,3,37500000
1450,3,30000000
1260,3,21000000
2925,4,57500000
1710,3,30000000
1600,3,30000000
1500,3,31500000
2200,3,30000000
1350,3,41500000
1710,3,24800000
1350,3,35000000
1500,3,40000000
2880,5,46000000
2700,4,55000000
1400,3,24500000
1800,3,24500000
1400,3,32500000
1000,2,20000000
8000,5,240000000
1000,2,20000000
1700,3,19000000
1600,3,26000000
1350,3,21000000
1700,3,27500000
1400,3,32500000
1450,3,45000000
1350,3,21000000
1700,3,28000000
1600,3,29500000
1500,,13500000
800,2,14000000
1710,3,26000000
1350,2,12500000
1500,3,26000000
750,2,11500000
850,2,14600000
1575,3,25500000
1675,3,31000000
1350,3,22000000
900,2,13400000
1800,3,35000000
900,2,11000000
900,2,6300000
900,2,12500000
800,2,14500000
1100,3,22500000
810,2,15500000
1500,3,26000000
900,2,15800000
825,2,15000000
900,2,13000000
875,2,15000000
1350,3,25000000
750,2,16500000
900,2,10300000
1350,3,26000000
900,2,11000000
1800,3,28500000
900,2,11000000
900,1,11000000
810,2,4500000
450,1,3600000
100,2,4300000
900,2,4000000
500,2,1650000
450,1,2000000
75,2,3000000
270,1,1400000
500,1,2000000
444,2,2000000
400,1,2000000
729,4,2600000
4050,3,5100000
2400,4,6000000
450,2,4000000
405,3,6200000
666,2,3500000
1000,2,7600000
1360,3,13500000
1550,3,12500000
850,2,6500000
2170,4,22000000
720,2,6000000
850,2,7300000
950,2,7600000
2300,4,20000000
1300,4,15000000
1100,2,6200000
1030,2,6200000
350,1,2300000
750,2,5000000
720,2,4700000
800,2,5500000
350,1,2000000
980,2,7300000
1600,3,13000000
1450,3,11500000
445,2,2800000
380,1,2200000
680,2,4400000
1600,3,13500000
630,2,4100000
1500,2,12000000
550,2,3500000
2500,3,15000000
2800,4,17500000
300,1,1900000
800,2,5500000
1295,2,10000000
700,2,4700000
350,1,2400000
450,2,3800000
2200,4,23000000
2300,4,24500000
1150,2,10000000
800,2,5500000
850,2,7000000
